Token text:               Symbol type:              
----------------          -----------------         
program                   program_symbol            
example                   identifier_symbol         
;                         semicolon_symbol          
newline                   newline_symbol            
var                       var_symbol                
arr                       identifier_symbol         
:                         colon_symbol              
array                     array_symbol              
[                         lbrack_symbol             
1                         number_symbol             
..                        dotdot_symbol             
10                        number_symbol             
]                         rbrack_symbol             
of                        of_symbol                 
integer                   integer_symbol            
;                         semicolon_symbol          
newline                   newline_symbol            
var                       var_symbol                
x                         identifier_symbol         
,                         comma_symbol              
y                         identifier_symbol         
:                         colon_symbol              
integer                   integer_symbol            
;                         semicolon_symbol          
newline                   newline_symbol            
var                       var_symbol                
a                         identifier_symbol         
,                         comma_symbol              
b                         identifier_symbol         
,                         comma_symbol              
c                         identifier_symbol         
:                         colon_symbol              
char                      char_symbol               
;                         semicolon_symbol          
newline                   newline_symbol            
var                       var_symbol                
z                         identifier_symbol         
:                         colon_symbol              
real                      real_symbol               
;                         semicolon_symbol          
newline                   newline_symbol            
begin                     begin_symbol              
newline                   newline_symbol            
x                         identifier_symbol         
:=                        assign_symbol             
1                         number_symbol             
;                         semicolon_symbol          
newline                   newline_symbol            
y                         identifier_symbol         
:=                        assign_symbol             
2                         number_symbol             
;                         semicolon_symbol          
newline                   newline_symbol            
a                         identifier_symbol         
:=                        assign_symbol             
'a'                       litchar_symbol            
;                         semicolon_symbol          
newline                   newline_symbol            
b                         identifier_symbol         
:=                        assign_symbol             
'b'                       litchar_symbol            
;                         semicolon_symbol          
newline                   newline_symbol            
c                         identifier_symbol         
:=                        assign_symbol             
'4'                       litchar_symbol            
;                         semicolon_symbol          
newline                   newline_symbol            
z                         identifier_symbol         
:=                        assign_symbol             
1.234                     number_symbol             
;                         semicolon_symbol          
newline                   newline_symbol            
x                         identifier_symbol         
:=                        assign_symbol             
arr                       identifier_symbol         
[                         lbrack_symbol             
2                         number_symbol             
]                         rbrack_symbol             
;                         semicolon_symbol          
newline                   newline_symbol            
arr                       identifier_symbol         
[                         lbrack_symbol             
x                         identifier_symbol         
]                         rbrack_symbol             
:=                        assign_symbol             
2                         number_symbol             
;                         semicolon_symbol          
newline                   newline_symbol            
x                         identifier_symbol         
:=                        assign_symbol             
(                         lparen_symbol             
y                         identifier_symbol         
+                         plus_symbol               
z                         identifier_symbol         
)                         rparen_symbol             
*                         times_symbol              
x                         identifier_symbol         
;                         semicolon_symbol          
newline                   newline_symbol            
if                        if_symbol                 
x                         identifier_symbol         
<                         less_symbol               
y                         identifier_symbol         
then                      then_symbol               
z                         identifier_symbol         
:=                        assign_symbol             
z                         identifier_symbol         
+                         plus_symbol               
x                         identifier_symbol         
else                      else_symbol               
z                         identifier_symbol         
:=                        assign_symbol             
z                         identifier_symbol         
+                         plus_symbol               
y                         identifier_symbol         
;                         semicolon_symbol          
newline                   newline_symbol            
while                     while_symbol              
x                         identifier_symbol         
>=                        greaterequal_symbol       
y                         identifier_symbol         
do                        do_symbol                 
x                         identifier_symbol         
:=                        assign_symbol             
x                         identifier_symbol         
-                         minus_symbol              
1                         number_symbol             
;                         semicolon_symbol          
newline                   newline_symbol            
read                      read_symbol               
(                         lparen_symbol             
x                         identifier_symbol         
)                         rparen_symbol             
;                         semicolon_symbol          
newline                   newline_symbol            
write                     write_symbol              
(                         lparen_symbol             
x                         identifier_symbol         
)                         rparen_symbol             
;                         semicolon_symbol          
newline                   newline_symbol            
write                     write_symbol              
(                         lparen_symbol             
a                         identifier_symbol         
)                         rparen_symbol             
;                         semicolon_symbol          
newline                   newline_symbol            
write                     write_symbol              
(                         lparen_symbol             
'hello world'             quotestring_symbol        
)                         rparen_symbol             
;                         semicolon_symbol          
newline                   newline_symbol            
end                       end_symbol                
.                         period_symbol             
newline                   newline_symbol            
